search_history,job_role
"Creativity, Design Thinking, and Innovation for Business | DataDog Monitoring Basics | Hands On | Design Thinking Simplified | Master the Secrets of Figma: A Complete Beginner's Course | Employee Journey Mapping for HR using Design Thinking | Prototyping with Sketch | The Complete Geospatial Data Science with Python Course",UI/UX Designer
Ethical Hacking Kali Linux for Beginners | GitLab CI - A Complete Hands-On for CI/CD Pipelines & DevOps | Country Guitar: Picking Exercises | Step By Step Guide To Writing Online Articles,Frontend Developer
Malware Analysis & Incident Response for IT Technicians | Supply Chain Operations Metrics and KPI's | Cybersecurity for CriticalUrban Infrastructure… | Mobile Application Hacking and Penetration Testing (Android) | The Malware Analysis Course | Check Point Firewalls Troubleshooting Expert Course (CCTE),Cybersecurity Analyst
"Intro to Network Technology in Healthcare, Plain & Simple | How to coach and train an Under 8 age group soccer team. | Day Trading: Candlestick Trading Mastery For Daily Profit | Complete Guide: Seamless Textures for Games and Arch Viz | Plant Based Diets: Food fora Sustainable Future | Shifting Roots - AML dance class series #1 beginner level | Become A Full Stack Web Developer in 14 Days",ML Engineer
Draw a realistic Fantail using pencil | Character Nail Art Course | Projects in Docker | Digital SLR Cameras & Photography For Dummies Video Training,ML Engineer
Deploy MEAN Stack App on Azure Cloud with CICD Pipeline | Tameana healing | The Complete Web Developer Masterclass: Beginner To Advanced | Become A Full Stack Web Developer in 14 Days | Oracle Apex - Web App Development | Create a Full Ionic App with Material Design - Full Stack | PCB Design for everyone with EasyEDA a free and online tool,Full Stack Developer
Create a Full Ionic App with Material Design - Full Stack | Squarespace Tutorial | How To Build A Squarespace Website | Civil Engg - Structural Design of Pre- Engineered Building | Robotics for Beginners - Build Your 1st Robot | Complete Muscle Building work out For Beginners! | Webservice Automation using SoapUI Groovy and Maven,Frontend Developer
"Ethical Hacking - USB injection with DigiSpark (2022) | Java 8 - Beyond the Basics | CSS, JavaScript And PHP Complete Course For Beginners | Learn How To Build An Online Dictionary With Django | Updated for 7th edition! Formatting APA Style in MS Word",Backend Developer
Master the MEAN Stack - Learn By Example | Raspberry Pi Full Stack | Learn Apache Spark with Python | MERN Stack Bus Ticket Booking App | The Complete Web Developer Course 3.0,Full Stack Developer
Learn Node Red Programming in 48 Hours | Certified DESIGN THINKING for agile product scoping | Informatica Master Data Management Hub Tool | JUnit and Mockito Unit Testing for Java Developers,Backend Developer
"Learn Big Data: The Hadoop Ecosystem Masterclass | Elevate Your Knowledge of Chakras Aura Colors and Meaning | Creating Sparks, Embers, and Collision with Unreal's Cascade | Heart Attack and Diabetes Prediction Project in Apache Spark | Test Driven Development in iOS Using Swift | Apache Spark with Databricks",Data Engineer
SQL Server Performance Tuning Part 2 | MERN eCommerce From Scratch | Raspberry Pi Full Stack | The Complete MERN Stack Developer Course 2020 | The Full Stack Developer Bootcamp,Full Stack Developer
"Intro to Cybersecurity in Healthcare (2 of 2),Plain & Simple | medical terminology & medical language & word meaning | The Full Stack Developer Bootcamp",Full Stack Developer
Introduction to Software Defined Networking in the Cloud | Personas in User Interface Engineering | Design Thinking Masterclass Bootcamp - Know Your Business,UI/UX Designer
"Microsoft Visio 2019 Training - Beginner to Advanced | Web 3.0, Blockchain, Smart Contracts & Crypto Practice Tests | KNIME a platform for Machine Learning and Data Science | AI Chatbot Masterclass | Easy 5 Steps Price Action Retail Traders Trap System (2020) | Mastering Burp Suite Pro - Dynamic course | Autumn Watercolor Painting - Fall Birch Trees Easy Beginner | Data Science 2022 : Complete Data Science & Machine Learning | Logistics and supply chain management (Masterclass Gold)",ML Engineer
"Mastering ansible in an hour and the half | Learn Jenkins CI CD | Medical Imaging Basics (RAD, RF, CT, CV), Plain & Simple | Monitoring Volcanoesand Magma Movements…",DevOps Engineer
Understanding Worker Classification Crash Course | Data Science Masterclass With R 8 Case Studies + 4 Projects | Policy Analysis UsingInterrupted Time Series… | Uncle Rat's Web Application Hacking And Bug Bounty Guide,Data Scientist
"Learn Protractor(Angular Testing) from scratch +Framework | Figma to bootstrap: Learn The Complete Web Design Process | Brewing your Favourite Craft Beers at home, definitive guide | AppArmor - Linux Security | The Novice's Guide to Mastering Processes | Shell Scripting/Bash Shell Script/AWK/SED on Linux/Unix/Bash | UX Design Crash Course - Learn User Experience Design Fast! | The Definitive Guide to Channeling Automatic Writing. | Overcome Unconscious Bias in Hiring: A Practical Guide",Frontend Developer
"MERN stack complete Blog Application from scratch 2022 | The Complete Web Developer in 2023: Zero to Mastery | MERN eCommerce From Scratch | User Experience Design Fundamentals (Part 1 of 3) | Question Reality! Science,philosophy, and thesearch for meaning… | GraphQL from Scratch with MERN Stack | Create a Full Ionic App with Material Design - Full Stack | The Complete MERN Stack Development course 2021",Full Stack Developer
Certified Information Security Manager (CISM - ISACA) | Paint Your First Photo using Corel Painter | High-Performance Computing with Python 3.x | create sap sales order using rest api | Learn CakePHP 3 Advanced Techniques | Learn PHP Fundamentals From Scratch | API and Web Service Introduction | asp.net web api and angularjs development to deployment,Backend Developer
Microsoft Excel Intermediate to Advanced - Step by Step | Apache Spark with Scala - Hands On with Big Data! | Apache Kafka Architecture | Learn Ethical Hacking From A-Z: Beginner To Expert Course | Apache Hadoop Interview Questions Preparation Course | Apache Spark with Databricks,Data Engineer
"Django master course with real world practical project 2022 | Essentials of JavaScript Practice Coding Exercises Tips | Spring Professional Certification Exam Tutorial - Module 06 | Steps to start a Massage Therapist Clinic | How to create a Flappy Bird inspired iPhone game in Swift 2 | Windows Server 2012R2 Administration (MCSA 2012) | Java from Zero to First Job, Practical Guide, 1500+ examples | Microsoft Windows Radius server (NPS) : Configure and Manage",Backend Developer
Data Science Real-World Case Studies - Hands On Python | NLP and Text mining with python(for absolute beginners only) | Introduction to Data Structures & Algorithms in Java,Data Scientist
Understand Tarot Cards and their Meaning | Apply Jobs as MERN stack developer with this course | Deploy any MERN Stack App on Azure Cloud using CICD Pipeline | Enhance your Immunity by natural means. | Learn Advanced Love Meanings of All 78 Tarot Cards | The Complete Web Developer Bootcamp - Beginner to Expert | Practical MEAN stack Mastery course | Cloud Computing in 75 Steps - Start Your AWS Journey | Master Mean : Learn the fundamentals of Mean Stack | Dashboard Reporting in Microsoft Excel - Tips & Tricks,Full Stack Developer
Azure Databricks and Spark SQL (Python) | Security Analyst SIEM Home Lab - AlienVault OSSIM | Ethical Hacking: File Inclusion,Cybersecurity Analyst
Master Control in SupplyChain Management andLogistics… | Python Advanced OOP for Machine Learning | Watercolor realistic orchid painting: step by step workshop | Product Design in AI | Artificial Intelligence and Users | World's Easiest Motifs In AI using the Blob Brush and Eraser | The Meaning of Rome:The Renaissance andBaroque City… | Google Uygulamaları | Sheets - Slides - Docs - Forms - Drive | Sales Skills Training: Free Sales Generation Seminars,ML Engineer
"Mastering Chef the Devops Way by School of DevOps® | Learning Path: Practical DevOps with Ansible and Docker | Ansible for an Absolute Beginner - Automation - DevOps | Ultimate Docker Fast-Track Beginner to Advanced | Master Puppet for DevOps Success | Artists: Create and Sell  iMessage Stickers in iOS 10 | Forest Monitoring withCLASlite… | DevOps: CICD with Jenkins, Maven, Gradle, SonarQube, Docker",DevOps Engineer
"Learn How to Design a Website in Figma | User Experience Design & Secret Strategies, 10X Your Results | Design Thinking + Entrepreneurship: My 8-Step Launch Program | NLP- Use Psychic Energy Techniques For Instant Rapport | Design Thinking andCreativity for Innovation | Game Prototyping without code using Unity & Playmaker | Designing for Productivity in the User eXperience",UI/UX Designer
GraphQL from Scratch with MERN Stack | Augmented Reality apps with ARKit and SceneKit on iOS | The Book: Making andMeaning in the MedievalManuscript… | From A Non Programmer To Full Stack .NET Developer | Master Full stack .NET Architecture using C#,Full Stack Developer
Full Stack Programming for Complete Beginners in Python | Exploiting Android Apps for beginners - Check Apps Security | The Complete Web Developer in 2023: Zero to Mastery | medical terminology & medical language & word meaning | Oracle Apex - Web App Development | Real-World Projects with MEAN Stack | Master Meaningful Nutrition | Authoring Elegant and Meaningful Agile User Stories,Full Stack Developer
Android Hacking: Ethical Hacking for Android Apps & Devices | Learn Ethical Hacking and Pentesting - Hands-on | Hands-on Penetration Testing Labs 4.0 | Learn Ethical Hacking & Reverse Engineering | AutoCAD 2022 -2015 + Fusion 360: A Complete Designer's Guide,Cybersecurity Analyst
"PHP 5 Introduction to coding Tutorial bootcamp | Developing CloudApplications with Node.jsand React… | Transform Your Photos with Adobe Lightroom & Photoshop | Snake Game With Rust, JavaScript, and WebAssembly | HashiCorp Certified: Terraform Associate 2022 | Google Sheets Básico: Crea tablas e informes impactantes. | JavaScript Basics Web Development Building Blocks | Practice Test: DP-203 Data Engineering on Azure | Project with Laravel PHP:Make a doctor appointment system",Backend Developer
"Taming Big Data with Apache Spark and Python - Hands On! | Big Data Hadoop - The Complete Course | Netlify - The Complete Guide 2023 (FullStack Serverless) | Data Engineering, Serverless ETL & BI on Amazon Cloud | Personas in User Interface Engineering",Data Engineer
"Oracle Database SQL (Exam 1Z0-071) Full Block Pratice Tests | PHP with MySQL 2023: Build 5 PHP and MySQL Projects | DevSecOps : Master Securing CI/CD | DevOps Pipeline(2023) | SQL Server SSAS (Multidimensional MDX) - an Introduction | Microsoft Excel 2010 Course Beginners/ Intermediate Training | Excel formulas ,Functions, VBA and Macros for beginners | Microsoft Office Excel 2016: Level 2 (Fortgeschritten) | Penetration Testing andIncident Response",Data Analyst
"Plotting with Seaborn for Beginners in Data Science | Past Life Regression Meditations | Data Science: Beginners Guide to the Command Line | Modeling a Theme Park Ride in 3d with Maya (Beginner) | Ethical Hacking: nmap in depth | Introduction to GenomicData Science… | Data Analysis, Data Science & Visualization: Python & Pandas | Statistics for Data Science using Python | Introduction to BayesianStatistics Using R",Data Scientist
Data Science with R and Python | R Programming | Artificial Intelligence #1: Linear & MultiLinear Regression | Quantum Computing and Quantum Machine Learning - Part 2 | iPhone: Push Notifications & Social Media (Swift 5 & iOS 13) | Mastering CoreData with CloudKit in Swift 5 for iOS 13 | Sports Management: Gameday Operations | FOUNDATIONS OF AYURVEDA - Discover Your True Nature,Data Scientist
"JavaScript for beginners: Create 27 projects from scratch | DevOps 2022 Learn CI/CD Process for Professionals and Teams | The complete beginner JavaScript ES5, ES6 and JQuery Course | Java SE 11 Developer 1Z0-819 OCP Course - Part 2 | Microservices Interview Readiness Course | Learn To Code By Making a 2D Platformer in Unity & C#",Backend Developer
"MEAN Stack Registration and Login App | Full Stack ApplicationDevelopment Project | Discord Clone - Learn MERN Stack with WebRTC and SocketIO | The Complete Web Developer in 2023: Zero to Mastery | Raspberry Pi Full Stack | Academic writing forclarity and meaning… | Get Purpose, Meaning, Success in your Life | KineMaster, Powerful Smartphone Video Editing (Android, iOS) | The Complete MERN Stack Developer Course 2020",Full Stack Developer
Ethical Hacking: Eternalblue | Create and Sell Journals on Amazon and All Platforms! | Cybersecurity - Automotive | Penetration Testing -Exploitation… | The Complete Ethical Hacking Course | Ethical Hacking: Hack by Uploading | Whitehat Hacking and Penetration Testing Tutorial Video | Sophos XG Firewall for Beginners-Part 2/2,Cybersecurity Analyst
Python and  Data Science  for beginners | 100 Days Data Science Bootcamp: Build 100 Real Life Projects | Data Science in R:  Regression & Classification Analysis | Risk Management With Monte Carlo Analysis | Ayurveda - Prakriti - Dosha Body Type Analysis And Advice | AWS Certified Cloud Practitioner 500 Practice Exam Questions,Data Scientist
"Voice Mail That Makes Sales - Get Your Call Returned ! | Certified Lean Six Sigma Green Belt Training [2022] | SAP SuccessFactors Employee Central Module Training | Secret Tricks to Pouring Acrylic Paint | Feldenkrais for Shoulder Pain - Learn to Move Better | The Web3 Rust Course - NEAR Smart Contracts Web Development | Mobile App Development with PhoneGap | Calisthenics 101: Supreme Bodyweight Training & Fitness | JAPANESE SAKE - ESSENTIALS IN BARTENDING & COCKTAILS | Python Programming: Machine Learning, Deep Learning | Python",ML Engineer
Upper-IntermediateEnglish: Business andModern Life… | Advanced T-SQL: Window Functions for Advanced Querying | The Complete Tableau Bootcamp for Aspiring Data Scientists | Predictive Modeling and Regression Analysis using SPSS | Power BI Masterclass from Scratch in 90 minutes [2023] | Power BI Masterclass - Data Analysis Deep Dive | Learn ETABS : Extended 3D Analysis of Building System | Introduction to Predictive Analytics on SAP HANA | 3D Modeling & Animation with Maya,Data Analyst
GET AHEAD- Full stack MERN Web App From Code to Cloud | Full Stack Android Development and Mobile App Marketing | Tameana healing | Raspberry Pi Full Stack | Training for Tanding - Silat Sparring | Enhance your Immunity by natural means. | Introduction to Google Cloud - 1 Hour Crash Course | MERN Stack Doctor Appointment Booking App | Apply Jobs as MERN stack developer with this course | MERN Stack Expense Tracker Application,Full Stack Developer
GraphQL with Django and Python | Python Flask: Make Web Apps with Python | Learn C# with Windows Forms and a Variety of Projects | Learn Figma in under 7h! - Start from scratch,Backend Developer
Create a Text Generation Web App with 100% Python (NLP) | Ayurveda Secret Marma Therapy Massage/Self Healing Course | Medicine Song Performances,Data Scientist
"Master the Economics, Economy & Forms of Market Knowledge | DevOps: Development to deployment and more with Hands On | Blockchain Fundamentals & Bitcoin Programming with Python | AVEVA E3D Training Course From Beginner to Advanced 2021 | SAP Financial Accounting and Controlling Super User Training | Dog Training - Polite Leash Walking Class | Crypto Airdrop Hunter | Google Workspace Applications Explained (G-Suite)- NEW",ML Engineer
"Java Spring & Apache Kafka Bootcamp - Basic to Complete | Azure Data Factory For Data Engineers - Project on Covid19 | SQL / PostgreSQL Bootcamp : Go From Beginner to Advanced | Mastering AWS Glue, QuickSight, Athena & Redshift Spectrum | PySpark - Python Spark Hadoop coding framework & testing | Learn Big Data from Scratch (Advance Hadoop + Unix Commands) | Comprehensive Course on Hadoop Analytic Tool : Apache Hive | Snowflake Complete Course for Clearing Interviews | CompTIA Pentest+ (Ethical Hacking) Course & Practice Exam | Data Engineering — How to Build an ETL Pipeline Using SSIS",Data Engineer
"Natural Resources for Sustainable Development | Dog Training for Expectant Parents | Free Yin Yoga - painful periods, cramps, endometriosis pain | iOS14 Tinder like Dating application with Firebase & Swift | Stop back pain now! Enjoy your life - reactivated | Data Science : Master Machine Learning Without Coding | Detailed study on auditing | Academic writing forclarity and meaning… | UML Class Diagrams for Software Engineering",ML Engineer
Apple macOS and iOS System Administration 2022 | Java Web Services Basics Guide | Mes Completo de Kung fu Shaolin + Forma Shaolin Shiba Shi | Solr search & querying using java spring boot application | 45 Real World Java Development Projects Bootcamp Course 2022 | PHP Mock Test Core & Advance 2022 [With FREE E-Book] | Hibernate and Java Persistence API (JPA) Fundamentals,Backend Developer
Hands-On pfSense 2.x for Firewalls and Routers | Ethical Hacking Deep Web and Dark Net Course | Advanced Ethical Hacking: Network & Web PenTesting - Part II | FREE Saint Anne's Reel Fiddle Tune - Learn on Guitar | Cybersecurity Roles andOperating System Security | The Absolute Beginner's Guide To Unreal Engine 4 and 5! | Threat and Vulnerability Assessment for Enterprises | Bug Bounty Hunting:  Website Hacking / Penetration Testing | Malware Development Course 2022: From Zero to Hero | Reverse Engineering & Malware Analysis - Intermediate Level,Cybersecurity Analyst
Tameana healing | DevOps Basics forEveryone | The Complete MERN Stack Development course 2021,Full Stack Developer
[2023] AZ-303 Azure Architect Technologies 304 Practice Test | AWS Certified Advanced Networking – Specialty | AWS Certified Security Specialty || 315+ Unique Questions | Amazon AWS EC2 Masterclass | Practice Exams | AWS Certified Developer Associate 2022 | Part 2 | MS Dynamics365-Finance & Operations-MB300|330 |310 | AWS Certified Practitioner Exam Questions (CLF-C01) | Android Application Programming,Cloud Engineer
The Ultimate Facebook Ads and Facebook Marketing Guide 2021 | Arduino Step By Step: Your Complete Guide | Modern Dance Intermediate | Berlin Relocation Guide | Build Chatbot using RASA 2x in 2021 | Project Management : A Guide to Project Management Practices | Adobe InDesign Basics Guide | 5-Day Juice & Green Smoothie Detox For Weight Loss | Occupational Therapy in Mental Health & Suicide Prevention,Frontend Developer
Advanced Data Science: Master Deep Web Experiment Analysis! | Learn Ayurveda Medicine Preparation | Figma only practice | Practical Data Science: Analyzing Stock Market Data with R | Ayurveda for Better Concentration,Data Scientist
"Past Life Regression: The Power Of Your Past | Practical Akka Http and Microservices | AWS EKS Kubernetes-Masterclass | DevOps, Microservices | 21 days body transformation - Food & Nutrition | API Automation testing using Karate framework",Backend Developer
AWS Cloud Development Kit - From Beginner to Professional | Cloud Computing with AWS for Beginners | Ultimate PRTG Network Monitoring with Full Lab GNS3 | Learn Docker asap [Hands on practical] | Part 2: AWS Certified Solutions Architect SAA C03 [2023] | AZ-900: Microsoft Azure Fundamentals Latest Practice Tests | Mastering Azure Security Center | AWS Certified Advanced Networking – Specialty | Cybersecurity Habits Masterclass | Fundamentals of Cloud computing,Cloud Engineer
"Design Thinking:Empathizing toUnderstand the Problem… | Figma for Beginners 2022: Learning by Doing approach | Designing Landing Pages in Figma: Techniques and Processes | Design for Humanity: A New Perspective on User Experience | Applied Entrepreneurship1: Design Thinking forBusiness Acceleration… | Design Thinking andCreativity for Innovation | Adobe XD from Beginner to Expert -Design, Prototype, HandOff | TOTAL: CompTIA CySA+ Cybersecurity Analyst (CS0-002) | Remote Usability Testing 101 | Complete Webflow Bootcamp: From Figma Design to Development",UI/UX Designer
The Complete Web Developer in 2023: Zero to Mastery | Learn Advanced Love Meanings of All 78 Tarot Cards | Master App Prototyping with Adobe Experience Design (XD) | Full Stack Programming for Complete Beginners in Python | The Full Stack Developer Bootcamp | MERN Stack Doctor Appointment Booking App,Full Stack Developer
Excel Tips and Tricks 2021 | Beginner's guide: Banking Business & Balance Sheet Analysis | INTUITION and PSYCHIC -Develop Intuition + Psychic abilities | Learn Maya - A Beginners guide to Creating Realistic Scenes,Frontend Developer
