course_title,skills,job_role
Learn and Understand NodeJS,,Backend Developer
The Modern Python 3 Bootcamp,,Data Analyst
JavaScript Basics for Beginners,,Backend Developer
"Git Complete: The definitive, step-by-step guide to Git",,Frontend Developer
The Complete Angular Course: Beginner to Advanced,,Frontend Developer
Python A-Z™: Python For Data Science With Real Exercises!,,Data Scientist
"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)",,Frontend Developer
Ethereum and Solidity: The Complete Developer's Guide,,Frontend Developer
JavaScript - The Complete Guide 2023 (Beginner + Advanced),,Backend Developer
Modern HTML & CSS From The Beginning (Including Sass),,Data Analyst
Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,,ML Engineer
Kubernetes Certified Application Developer (CKAD) with Tests,,Cloud Engineer
PHP for Beginners - Become a PHP Master - CMS Project,,Backend Developer
Angular & NodeJS - The MEAN Stack Guide [2023 Edition],,Backend Developer
The Complete Java Certification Course,,Backend Developer
JavaScript Algorithms and Data Structures Masterclass,,Backend Developer
Artificial Intelligence A-Z™: Learn How To Build An AI,,ML Engineer
The Complete React Developer Course (w/ Hooks and Redux),,Frontend Developer
Microsoft SQL for Beginners,,Data Analyst
Learn and Understand AngularJS,,Frontend Developer
Java In-Depth: Become a Complete Java Engineer!,,Backend Developer
Spark and Python for Big Data with PySpark,,Data Engineer
MongoDB - The Complete Developer's Guide 2023,,Frontend Developer
Build an app with ASPNET Core and Angular from scratch,,Frontend Developer
REST APIs with Flask and Python in 2023,,Backend Developer
Complete Guide to Elasticsearch,,Frontend Developer
Spring Framework 5: Beginner to Guru,,Backend Developer
Angular Crash Course for Busy Developers,,Frontend Developer
The Ultimate Guide to Game Development with Unity (Official),,Frontend Developer
The Complete Android Oreo Developer Course - Build 23 Apps!,,Frontend Developer
Learn Python & Ethical Hacking From Scratch,,Cybersecurity Analyst
Docker & Kubernetes: The Practical Guide [2023 Edition],,Frontend Developer
Complete Guide to TensorFlow for Deep Learning with Python,,ML Engineer
Selenium 4 WebDriver with Java(Basics + Advance + Architect),,Backend Developer
Apache Spark with Scala - Hands On with Big Data!,,Data Engineer
"Node.js, Express, MongoDB & More: The Complete Bootcamp 2023",,Backend Developer
The Ultimate Excel Programmer Course,,Data Analyst
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,,Mobile App Developer
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",,Frontend Developer
Data Science and Machine Learning Bootcamp with R,,ML Engineer
The Complete Oracle SQL Bootcamp (2023),,Data Analyst
WebServices/Rest API Testing with SoapUI +Real time Projects,,Backend Developer
Javascript for Beginners Learn by Doing Practical Exercises,,Backend Developer
"MERN Stack Front To Back: Full Stack React, Redux & Node.js",,Backend Developer
The Complete Ruby on Rails Developer Course,,ML Engineer
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,,DevOps Engineer
Learn HTML5 Programming From Scratch,,ML Engineer
Java Programming: Complete Beginner to Advanced,,Backend Developer
Complete Machine Learning & Data Science Bootcamp 2023,,ML Engineer
Bash Scripting and Shell Programming (Linux Command Line),,Frontend Developer
Node with React: Fullstack Web Development,,Backend Developer
Taming Big Data with Apache Spark and Python - Hands On!,,Data Engineer
Docker Crash Course for busy DevOps and Developers,,DevOps Engineer
Microservices with Node JS and React,,Backend Developer
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",,DevOps Engineer
Data Structures and Algorithms:  Deep Dive Using Java,,Backend Developer
Learn JMETER from Scratch on Live Apps -Performance Testing,,Backend Developer
iOS 10 & Swift 3: From Beginner to Paid Professional™,,ML Engineer
The Complete Front-End Web Development Course,,Frontend Developer
Learn DevOps: Infrastructure Automation With Terraform,,Backend Developer
Postman: The Complete Guide - REST API Testing,,Backend Developer
NLP - Natural Language Processing with Python,,Data Scientist
The Agile Samurai Bootcamp,,ML Engineer
ES6 Javascript: The Complete Developer's Guide,,Backend Developer
Build Websites from Scratch with HTML & CSS,,ML Engineer
Master Java Web Services and REST API with Spring Boot,,Backend Developer
The Modern JavaScript Bootcamp,,Data Analyst
AWS Serverless APIs & Apps - A Complete Introduction,,Backend Developer
Introduction to Machine Learning for Data Science,,ML Engineer
"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",,DevOps Engineer
Core Java Made Easy (Covers the latest Java 17),,Backend Developer
Entity Framework in Depth: The Complete Guide,,Frontend Developer
JavaScript: The Advanced Concepts (2023 Update),,Backend Developer
PHP with Laravel for beginners - Become a Master in Laravel,,Backend Developer
"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",,DevOps Engineer
Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,,Backend Developer
"Beginner Full Stack Web Development: HTML, CSS, React & Node",,ML Engineer
Node.js: The Complete Guide to Build RESTful APIs (2018),,Backend Developer
Data Science: Natural Language Processing (NLP) in Python,,Data Scientist
AWS CloudFormation Master Class v2 [2022],,Backend Developer
Complete UiPath RPA Developer Course: Build 7 Robots,,Frontend Developer
The Modern Javascript Bootcamp Course (2022),,Data Analyst
"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",,Data Analyst
Python for Machine Learning & Data Science Masterclass,,ML Engineer
Typescript: The Complete Developer's Guide,,Frontend Developer
Advanced React and Redux,,Frontend Developer
The Complete iOS 10 & Swift 3 Developer Course,,Mobile App Developer
"JSP, Servlets and JDBC for Beginners: Build a Database App",,Frontend Developer
Selenium WebDriver with Java for beginners,,Backend Developer
Cypress -Modern Automation Testing from Scratch + Frameworks,,Data Analyst
Statistics for Business Analytics and Data Science A-Z™,,Data Analyst
Progressive Web Apps (PWA) - The Complete Guide,,Frontend Developer
Android Java Masterclass - Become an App Developer,,Backend Developer
Practice Java by Building Projects,,Backend Developer
Quick Introduction to Postman and API Testing for Beginners,,Backend Developer
Next.js & React - The Complete Guide (incl. Two Paths!),,Frontend Developer
The Complete Android 12 & Kotlin Development Masterclass,,Mobile App Developer
"Modern JavaScript (Complete guide, from Novice to Ninja)",,Data Analyst
Ethereum Blockchain Developer Bootcamp With Solidity (2023),,ML Engineer
Learn JAVA Programming - Beginner to Master,,Backend Developer
Xamarin Forms: Build Native Cross-platform Apps with C#,,Backend Developer
Selenium WebDriver 4 With Java - Novice To Ninja + Interview,,Backend Developer
Microservices Software Architecture: Patterns and Techniques,,Backend Developer
GraphQL with React: The Complete Developers Guide,,Frontend Developer
Complete guide to ASP.NET Core MVC (.NET 6),,Frontend Developer
"50 Projects In 50 Days - HTML, CSS & JavaScript",,ML Engineer
Microservices: Designing Highly Scalable Systems,,Backend Developer
Master Hibernate and JPA with Spring Boot in 100 Steps,,Backend Developer
Front End Web Development Ultimate Guide,,Frontend Developer
Python for Computer Vision with OpenCV and Deep Learning,,ML Engineer
Learn Git by Doing: A step-by-step guide to version control,,Frontend Developer
React Front To Back,,Frontend Developer
"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide",,Backend Developer
Data Science: Deep Learning and Neural Networks in Python,,ML Engineer
Web Development Masterclass - Online Certification Course,,Frontend Developer
Complete Java SE 8 Developer Bootcamp - OCA Prep Included,,Backend Developer
Tensorflow 2.0: Deep Learning and Artificial Intelligence,,ML Engineer
"Java Multithreading, Concurrency & Performance Optimization",,Backend Developer
NestJS Zero to Hero - Modern TypeScript Back-end Development,,Data Analyst
Learn Cucumber BDD with Java -MasterClass Selenium Framework,,Backend Developer
Go Java Full Stack with Spring Boot and Angular,,Backend Developer
Node JS: Advanced Concepts,,Backend Developer
R Programming: Advanced Analytics In R For Data Science,,Data Analyst
ISTQB Foundation Level 2023 Complete Training,,ML Engineer
Interactive Python Dashboards with Plotly and Dash,,Data Analyst
DP-900 Azure Data Fundamentals Exam Prep In One Day,,Cloud Engineer
Advanced Javascript,,Backend Developer
"HTML, CSS, & JavaScript - Certification Course for Beginners",,ML Engineer
Python and Flask Bootcamp: Create Websites using Flask!,,Backend Developer
Modern Java - Learn Java 8 features by coding it,,Data Analyst
"Angular (Full App) with Angular Material, Angularfire & NgRx",,Frontend Developer
Learn Object Oriented PHP By Building a Complete Website,,Backend Developer
Full Stack: Angular and Java Spring Boot E-Commerce Website,,Backend Developer
The Complete Hands-On Introduction to Apache Airflow,,ML Engineer
POSTMAN API Testing - Step by Step for Beginners,,Backend Developer
Microservices with Spring Cloud,,Backend Developer
The Complete Developers Guide to MongoDB,,Frontend Developer
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",,Data Analyst
The Complete 2023 Web Development Course - Build 15 Projects,,Frontend Developer
Design Patterns in Java,,Backend Developer
SQL for Data Analysis: Beginner MySQL Business Intelligence,,Data Analyst
The Complete Android Kotlin Developer Course,,Mobile App Developer
Natural Language Processing with Deep Learning in Python,,ML Engineer
Selenium WebDriver with Java & Cucumber BDD,,Backend Developer
Oracle Database 12c SQL Certified Associate 1Z0-071,,Data Analyst
GCP: Complete Google Data Engineer and Cloud Architect Guide,,Data Engineer
Web Development w/ Google’s Go (golang) Programming Language,,Frontend Developer
Python for Time Series Data Analysis,,Data Scientist
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,,ML Engineer
Git a Web Developer Job: Mastering the Modern Workflow,,Data Analyst
Build Web Apps with Vue JS 3 & Firebase,,Frontend Developer
Informatica Tutorial: Beginner to Expert Level,,Backend Developer
Salesforce Development Training for Beginners,,ML Engineer
Microsoft SQL from A to Z,,Data Analyst
Build a Backend REST API with Python & Django - Advanced,,Backend Developer
Spring Boot Microservices and Spring Cloud. Build & Deploy.,,Backend Developer
Nuxt.js 2 - Vue.js on Steroids,,Frontend Developer
Full Stack Java developer - Java + JSP + Restful WS + Spring,,Backend Developer
Software Development: Better Requirements Gathering Skills,,Frontend Developer
Angular Front To Back,,Frontend Developer
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",,ML Engineer
Java for Absolute Beginners,,Backend Developer
20 Web Projects With Vanilla JavaScript,,Backend Developer
Mastering SQL Server 2016 Integration Services (SSIS)-Part 1,,Data Analyst
TensorFlow Developer Certificate in 2023: Zero to Mastery,,ML Engineer
Accelerated JavaScript Training,,ML Engineer
MERN eCommerce From Scratch,,Full Stack Developer
Java Spring Tutorial Masterclass - Learn Spring Framework 5,,Backend Developer
Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,,Backend Developer
Complete Step By Step Java For Testers,,Backend Developer
SQL and PostgreSQL: The Complete Developer's Guide,,Data Analyst
Web Developer Bootcamp with Flask and Python in 2023,,Backend Developer
Absolute Introduction to Object Oriented Programming in Java,,Backend Developer
Complete guide to building an app with .Net Core and React,,Frontend Developer
Selenium WebDriver + Java. Complete step by step course.,,Backend Developer
Bayesian Machine Learning in Python: A/B Testing,,ML Engineer
Probability and Statistics for Business and Data Science,,Data Scientist
The Complete Machine Learning Course with Python,,ML Engineer
Build+Deploy+Test with Jenkins 2.0,,Frontend Developer
Android App Development Masterclass using Kotlin,,Mobile App Developer
Selenium WebDriver with Java and PYTHON: Scratch + Framework,,Backend Developer
Deep Learning Prerequisites: Linear Regression in Python,,ML Engineer
The Complete Java Development Bootcamp,,Backend Developer
iOS 9 and Swift 2: From Beginner to Paid Professional™,,ML Engineer
JavaScript Beginner Bootcamp (2023),,Backend Developer
Django 2.2 & Python | The Ultimate Web Development Bootcamp,,Backend Developer
React JS Web Development - The Essentials Bootcamp,,Frontend Developer
UML and Object-Oriented Design Foundations,,ML Engineer
Master Java Unit Testing with Spring Boot & Mockito,,Backend Developer
Practical Data Structures & Algorithms in Java + HW,,Backend Developer
Accelerated ES6 JavaScript Training,,ML Engineer
Python Django Dev To Deployment,,Backend Developer
Microfrontends with React: A Complete Developer's Guide,,Frontend Developer
Create an eCommerce Website Using Laravel (PHP & MySQL),,Data Analyst
Unity Game Development Build 2D & 3D Games,,Frontend Developer
React Native: Advanced Concepts,,Frontend Developer
Advanced SQL : The Ultimate Guide,,Data Analyst
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",,ML Engineer
The Modern GraphQL Bootcamp (with Node.js and Apollo),,Data Analyst
Complete Modern C++ (C++11/14/17),,Data Analyst
Deep Learning: Advanced Natural Language Processing and RNNs,,ML Engineer
Learn Spring Boot - Rapid Spring Application Development,,Backend Developer
Webpack 2: The Complete Developer's Guide,,Frontend Developer
"Complete Web Design: HTML, CSS, Javascript, jQuery & Vue JS",,ML Engineer
Design Patterns in Modern C++,,Data Analyst
Scala and Spark for Big Data and Machine Learning,,ML Engineer
DevOps MasterClass : Terraform Jenkins Kubernetes Ansible,,Backend Developer
Deep Learning: Convolutional Neural Networks in Python,,ML Engineer
Machine Learning & Deep Learning in Python & R,,ML Engineer
Complete 2022 Data Science & Machine Learning Bootcamp,,ML Engineer
Testing React with Jest and React Testing Library (RTL),,Frontend Developer
Master Object Oriented Design in Java - Homework + Solutions,,Backend Developer
Jenkins 2 Bootcamp: Fully Automate Builds to Deployment 2020,,Frontend Developer
100 Days Of Code - 2023 Web Development Bootcamp,,Frontend Developer
The Complete 2021 PHP Full Stack Web Developer Bootcamp,,Backend Developer
SQL Server Administration Part1,,Data Analyst
Flutter & Dart - The Complete Flutter App Development Course,,Mobile App Developer
Learn Protractor(Angular Testing) from scratch +Framework,,Frontend Developer
NgRx (with NgRx Data) - The Complete Guide (Angular 15),,Frontend Developer
Build a Backend REST API with Python & Django - Beginner,,Backend Developer
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,,Data Analyst
Statistics for Data Analysis Using Excel 2016,,Data Analyst
Apache Spark 3 - Spark Programming in Python for Beginners,,Data Engineer
HTML5 - From Basics to Advanced level [2023],,ML Engineer
Python - The Practical Guide [2023 Edition],,Frontend Developer
The Complete Python & PostgreSQL Developer Course,,Data Analyst
Advanced AI: Deep Reinforcement Learning in Python,,ML Engineer
Angular Essentials (Angular 2+ with TypeScript),,Frontend Developer
Testing Angular 4 (previously Angular 2) Apps with Jasmine,,Frontend Developer
Oracle Java Certification - Pass the Associate 1Z0-808 Exam.,,Backend Developer
Mastering data visualization in D3.js,,Data Analyst
Dart and Flutter: The Complete Developer's Guide,,Frontend Developer
"HTML, JavaScript, & Bootstrap - Certification Course",,ML Engineer
SQL Programming Basics,,Data Analyst
Learn JavaScript: Full-Stack from Scratch,,Backend Developer
Build a Real-world App with ASP.NET Core and Angular 2 (4+),,Frontend Developer
AWS Lambda & Serverless Architecture Bootcamp (Build 5 Apps),,Backend Developer
Intro to Data Science: Your Step-by-Step Guide To Starting,,Data Scientist
Essentials in JavaScript ES6 - A Fun and Clear Introduction,,Backend Developer
Spring Boot Microservices with Spring Cloud Beginner to Guru,,Backend Developer
Cluster Analysis and Unsupervised Machine Learning in Python,,ML Engineer
Core Java for Automation Testers- Coding made Easy,,Backend Developer
Terraform for the Absolute Beginners with Labs,,Backend Developer
Snowflake[A-Z] Zero to Hero Masterclass(Core+SQL+API+Visual),,Data Analyst
Object Oriented PHP & MVC,,Backend Developer
HTML & CSS - Certification Course for Beginners,,ML Engineer
SwiftUI Masterclass 2023 - iOS App Development & Swift,,Frontend Developer
Node.js API Masterclass With Express & MongoDB,,Backend Developer
Learn Responsive Web Development from Scratch,,Frontend Developer
iOS 11 & Swift 4: From Beginner to Paid Professional™,,ML Engineer
Deep Learning and NLP A-Z™: How to create a ChatBot,,ML Engineer
Apache Kafka Series - Kafka Connect Hands-on Learning,,Data Engineer
The Complete React Js & Redux Course - Build Modern Web Apps,,Data Analyst
Deployment of Machine Learning Models,,Data Analyst
GIT and Visual Studio with Azure DevOps Repos for Developers,,Cloud Engineer
React JS- Complete Guide for Frontend Web Development [2023],,Frontend Developer
R Programming for Statistics and Data Science 2023,,Data Scientist
The Java Spring Tutorial: Learn Java's Popular Web Framework,,Backend Developer
The Complete Android T + Java Developer Course™ : 2023,,Backend Developer
Zero to Hero in Lightning Web Components,,Frontend Developer
RESTful Web API - The Complete Guide (.NET7  API),,Backend Developer
Java from Beginner to Expert,,Backend Developer
Master XPath and CSS Selectors for Selenium WebDriver,,Frontend Developer
The Ultimate 2023 Fullstack Web Development Bootcamp,,Frontend Developer
The Complete Xamarin Developer Course:  iOS And Android!,,Mobile App Developer
Webpack 5 in 2022: The Complete Guide For Beginners,,Frontend Developer
Practical Java Unit Testing with JUnit 5,,Backend Developer
HTML&CSS Tutorial and Projects Course 2023 (Flexbox&Grid),,ML Engineer
Deep Learning: Recurrent Neural Networks in Python,,ML Engineer
Django 3 - Full Stack Websites with Python Web Development,,Backend Developer
Introduction to Apache NiFi | Cloudera DataFlow - HDF 2.0,,Cloud Engineer
"Java from Zero to First Job, Practical Guide, 1500+ examples",,Backend Developer
Python Django - The Practical Guide,,Backend Developer
The Complete Android Developer Course: Beginner To Advanced!,,Mobile App Developer
Learn HTML - For Beginners,,ML Engineer
JDBC Servlets and JSP - Java Web Development Fundamentals,,Backend Developer
Java Persistence: Hibernate and JPA Fundamentals,,Backend Developer
The Complete iOS 11 & Swift Developer Course - Build 20 Apps,,Frontend Developer
Mathematical Foundations of Machine Learning,,ML Engineer
The Ultimate Hands-On Lightning Web Component,,Frontend Developer
Learn Database Design with MySQL,,Data Analyst
Basics in Cloud Computing with SAP Cloud Platform,,Backend Developer
The Linux Command Line Bootcamp: Beginner To Power User,,Frontend Developer
Practical Web Development: 22 Courses in 1,,Frontend Developer
Python & Machine Learning for Financial Analysis,,ML Engineer
In-Depth Software Testing Training Course From Scratch,,ML Engineer
Complete SQL and Databases Bootcamp: Zero to Mastery [2023],,Data Analyst
"Reactive Angular Course (with RxJs, Angular 15)",,Frontend Developer
The Complete Full-Stack JavaScript Course,,Backend Developer
Microservices Architecture and Implementation on .NET 5,,Backend Developer
React and Typescript: Build a Portfolio Project,,Frontend Developer
"Docker - Introducing Docker Essentials, Containers, and more",,ML Engineer
"Complete JAVASCRIPT with HTML5,CSS3 from zero to Expert-2023",,ML Engineer
NestJS: The Complete Developer's Guide,,Frontend Developer
Kotlin for Java Developers,,Backend Developer
The Complete Web Developer Masterclass: Beginner To Advanced,,Full Stack Developer
"RESTful Web Services, Java, Spring Boot, Spring MVC and JPA",,Backend Developer
JavaScript - Basics to Advanced step by step [2023],,Backend Developer
Deep Learning Prerequisites: Logistic Regression in Python,,ML Engineer
Git & GitHub - The Practical Guide,,Frontend Developer
"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]",,Backend Developer
PHP OOP: Object Oriented Programming for beginners + Project,,Backend Developer
Kotlin for Beginners: Learn Programming With Kotlin,,Mobile App Developer
PyTorch for Deep Learning with Python Bootcamp,,ML Engineer
The Complete Self-Driving Car Course - Applied Deep Learning,,ML Engineer
Object-oriented Programming in JavaScript,,Backend Developer
PHP & MySQL - Certification Course for Beginners,,Data Analyst
Master MATLAB through Guided Problem Solving,,Frontend Developer
1 Hour HTML,,ML Engineer
Build Reactive MicroServices using Spring WebFlux/SpringBoot,,Backend Developer
"Master Electron: Desktop Apps with HTML, JavaScript & CSS",,ML Engineer
Data Visualization with Python for Beginners,,Data Analyst
Unsupervised Machine Learning Hidden Markov Models in Python,,Data Analyst
Build 15 Augmented Reality (AR) apps with Unity & Vuforia,,Frontend Developer
Devops Fundamentals - CI/CD with AWS +Docker+Ansible+Jenkins,,Cloud Engineer
The Complete Git Guide: Understand and master Git and GitHub,,Frontend Developer
The Complete MySQL Developer Course,,Data Analyst
The Comprehensive Android App Development Masterclass,,Mobile App Developer
Java Design Patterns & SOLID Design Principles,,Backend Developer
Javascript Tutorial and Projects Course (2023),,Backend Developer
Master Computer Vision™ OpenCV4 in Python with Deep Learning,,ML Engineer
Introduction to Natural Language Processing (NLP),,Data Scientist
SQL for Beginners: The Easiest Way to Learn SQL Step by Step,,Data Analyst
Mainframe: The Complete JCL Course from Beginner to Expert,,ML Engineer
Server Side Rendering with React and Redux,,Backend Developer
Apache Kafka for Developers using Spring Boot[LatestEdition],,Data Engineer
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",,ML Engineer
The Ultimate Oracle SQL Course: SQL Made Practical,,Data Analyst
Agile Business Analysis: Getting / Writing Lean Requirements,,Frontend Developer
Spring & Spring Boot Interview Guide,,Backend Developer
Modern Web Scraping with Python using Scrapy Splash Selenium,,Data Analyst
The Full JavaScript & ES6 Tutorial - (including ES7 & React),,Backend Developer
AngularJS JumpStart with Dan Wahlin,,Frontend Developer
Postman - Learn API Testing from Scratch with Live Projects,,Backend Developer
Learn Java Programming Crash Course,,Backend Developer
Introduction to TypeScript Development,,Frontend Developer
Microsoft SQL Server 2012 Certification Training Exam 70-461,,Data Analyst
How To Make a Wordpress Website -Elementor Page Builder,,Frontend Developer
Angular Testing Masterclass (Angular 15),,Frontend Developer
Selenium WebDriver with Java Quickstart,,Backend Developer
Build a Blockchain and a Cryptocurrency from Scratch,,ML Engineer
Learn Ruby on Rails from Scratch,,ML Engineer
The Modern Angular Bootcamp,,Data Analyst
Streaming Big Data with Spark Streaming and Scala,,Data Engineer
Learn JavaScript - For Beginners,,Backend Developer
Understanding Docker and using it for Selenium automation,,DevOps Engineer
The Complete Sass & SCSS Course: From Beginner to Advanced,,Frontend Developer
JavaScript Web Projects: 20 Projects to Build Your Portfolio,,Backend Developer
Java Data Structures and Algorithms Masterclass,,Backend Developer
AWS Certified Machine Learning Specialty MLS-C01 [2023],,ML Engineer
Python 3 Ultimate Guide,,Frontend Developer
AWS Certified Developer Associate Practice Exams,,Cloud Engineer
Complete React Native in 2023: Zero to Mastery (with Hooks),,Frontend Developer
Building Modern Web Applications with Go (Golang),,Data Analyst
Develop Minecraft Plugins (Java),,Backend Developer
SQL Server Performance Tuning Part 1,,Data Analyst
Web Development Masterclass & Certifications,,Frontend Developer
Monitoring and Alerting with Prometheus,,DevOps Engineer
"Complete Course on Data Visualization, Matplotlib and Python",,Data Analyst
Complete Angular 11 - Ultimate Guide - with Real World App,,Frontend Developer
Learn JavaScript for Web Development,,Backend Developer
REST APIs with Postman for Absolute Beginners,,Backend Developer
Selenium WebDriver with Java | Project Implement + Framework,,Backend Developer
"Complete NodeJS Developer in 2023 (GraphQL, MongoDB, + more)",,Backend Developer
Introduction to Data Structures & Algorithms in Java,,Backend Developer
Electron for Desktop Apps: The Complete Developer's Guide,,Frontend Developer
"Mastering AWS Glue, QuickSight, Athena & Redshift Spectrum",,Data Engineer
The Complete ReactJs Course - Basics to Advanced [2023],,Frontend Developer
Java for Complete Beginners,,Backend Developer
Java Application Performance Tuning and Memory Management,,Backend Developer
Java Streams API Developer Guide,,Backend Developer
Python Programming for Beginners in Data Science,,Data Scientist
Deep Learning with Python and Keras,,ML Engineer
JavaScript For Beginners - Learn JavaScript From Scratch,,Backend Developer
ChatBots: Messenger ChatBot - DialogFlow and nodejs,,Backend Developer
Artificial Intelligence & Machine Learning for Business,,ML Engineer
Build Web Apps with React & Firebase,,Frontend Developer
Dissecting Ruby on Rails 5 - Become a Professional Developer,,ML Engineer
Java Course for Complete Beginners with Practical Examples,,Backend Developer
An Introduction to Machine Learning for Data Engineers,,ML Engineer
The Complete Pandas Bootcamp 2022: Data Science with Python,,Data Scientist
Svelte.js - The Complete Guide (incl. Sapper.js),,Frontend Developer
.NET 7 Web API & Entity Framework Jumpstart,,Backend Developer
Data Science: Modern Deep Learning in Python,,Data Analyst
Python eCommerce | Build a Django eCommerce Web Application,,Backend Developer
R Level 1 - Data Analytics with R,,Data Analyst
Learn Rust by Building Real Applications,,Frontend Developer
Web Development - Complete Fast Track Course,,Frontend Developer
Apache Spark 2.0 with Java -Learn Spark from a Big Data Guru,,Data Engineer
"JSP, Servlet, JSLT + Hibernate: A complete guide",,Frontend Developer
MS SQL Server: Learn MS SQL Server from Scratch,,Data Analyst
Apache Kafka Series - Confluent Schema Registry & REST Proxy,,Data Engineer
Web Components & Stencil.js - Build Custom HTML Elements,,ML Engineer
Flutter - Beginners Course,,Mobile App Developer
PHP for Beginners,,Backend Developer
Kotlin for Android: Beginner to Advanced,,Mobile App Developer
Jira Essentials | A complete Jira guide for beginners,,Frontend Developer
Machine Learning with Javascript,,ML Engineer
"React JS, Angular & Vue JS - Quickstart & Comparison",,Frontend Developer
Docker for Java Developers,,Backend Developer
"SQL Bootcamp with MySQL, PHP & Python : 5 Courses in 1",,Data Analyst
Python-Introduction to Data Science and Machine learning A-Z,,ML Engineer
LEARNING PATH: Complete Roadway to Informatica Powercenter 9,,Backend Developer
Blazor Bootcamp - .NET 6 E-Commerce Web App(WASM and Server),,Backend Developer
Understanding APIs and RESTful APIs Crash Course,,Backend Developer
Complete Responsive Web Development: 4 courses in 1,,Frontend Developer
Build a Social Network from Scratch: JavaScript PHP + MySQL,,Data Analyst
Apache Airflow: The Hands-On Guide,,ML Engineer
Learn SQL Using PostgreSQL: From Zero to Hero,,Data Analyst
Learn Devops: Continuously Deliver Better Software,,DevOps Engineer
"JavaScript, Bootstrap, & PHP - Certification for Beginners",,Backend Developer
Java for Beginners - Learn all the Basics of Java,,Backend Developer
The Complete Database Design & Modeling Beginners Tutorial,,Data Analyst
